category,Unique Users,mobile_brand_name,mobile_model_name,operating_system,operating_system_version,browser,language
desktop,183,,,,,,
mobile,5153,,,,,,
,3,,SM-M127F,,,,
,2,,SM-M135M,,,,
,1,,SM-M156B,,,,
,3,,SM-M315F,,,,
,1,,SM-M346B,,,,
,2,,SM-M546B,,,,
,1,,SM-N950U,,,,
,1,,SM-N960F,,,,
,1,,SM-N970F,,,,
,1,,SM-N970U,,,,
,3,,SM-N975F,,,,
,1,,SM-N975U,,,,
,2,,SM-N980F,,,,
,1,,SM-N981B,,,,
,2,,SM-N985F,,,,
,7,,SM-S711B,,,,
,1,,SM-S901B,,,,
,6,,SM-S901E,,,,
,2,,SM-S901U,,,,
,2,,SM-S901U1,,,,
,1,,SM-S901W,,,,
,3,,SM-S906E,,,,
,10,,SM-S908E,,,,
,1,,SM-S908U,,,,
,6,,SM-S911B,,,,
,3,,SM-S916B,,,,
,6,,SM-S918B,,,,
,2,,SM-S918U1,,,,
,7,,SM-S921B,,,,
,2,,SM-S926B,,,,
,9,,SM-S928B,,,,
,8,,SNE-LX3,,,,
,79,,STK-LX3,,,,
,2,,Silver Max Lite 2,,,,
,1,,T509K,,,,
,1,,T610E,,,,
,1,,T611B,,,,
,1,,T612B,,,,
,1,,T671E,,,,
,1,,TB-8705FS,,,,
,9,,TFY-LX3,,,,
,2,,TRT-L53,,,,
,13,,V2027,,,,
,3,,V2028,,,,
,11,,V2035,,,,
,5,,V2058,,,,
,1,,V2066,,,,
,19,,V2109,,,,
,12,,V2110,,,,
,7,,V2139,,,,
,2,,V2158,,,,
,4,,V2202,,,,
,1,,V2204,,,,
,2,,V2205,,,,
,6,,V2206,,,,
,1,,V2247,,,,
,4,,V2249,,,,
,4,,V2310,,,,
,2,,V2322,,,,
,3,,V2332,,,,
,8,,V2333,,,,
,5,,V2343,,,,
,11,,VNE-LX3,,,,
,1,,VNS-L23,,,,
,1,,VOG-L04,,,,
,2,,VOG-L29,,,,
,1,,VTR-L09,,,,
,7,,WDY-LX3,,,,
,11,,X6525,,,,
,7,,X6528,,,,
,1,,X657B,,,,
,2,,X659B,,,,
,1,,X665E,,,,
,3,,X669,,,,
,1,,X678B,,,,
,1,,X6810,,,,
,1,,X6825,,,,
,1,,X6827,,,,
,2,,X682B,,,,
,3,,X6831,,,,
,3,,X6833B,,,,
,2,,X6835B,,,,
,5,,X6837,,,,
,9,,X6853,,,,
,1,,X688B,,,,
,32,,XT-2343-1,,,,
,2,,XT1925,,,,
,1,,XT2335-2,,,,
,28,,XT2421-2,,,,
,2,,YAL-L21,,,,
,1,,Z2357N,,,,
,3,,edge 20 lite,,,,
,5,,edge 30,,,,
,2,,edge 30 fusion,,,,
,134,,iPhone,,,,
,2,,iPhone 11,,,,
,1,,iPhone 12,,,,
,1,,iPhone 12 mini,,,,
,2,,moto e(7),,,,
,10,,moto e(7) plus,,,,
,16,,moto e20,,,,
,1,,moto e5,,,,
,1,,moto g play (2023),,,,
,1,,moto g(100),,,,
,6,,moto g(30),,,,
